,action,boro,critical_flag,cuisine_description,dba,grade,inspection_date,zipcode
55,Violations were cited in the following area(s).,BROOKLYN,Critical,Delicatessen,WILKEN'S FINE FOOD,A,2019-05-03T00:00:00.000,11234
56,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Delicatessen,WILKEN'S FINE FOOD,A,2019-05-03T00:00:00.000,11234
57,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Delicatessen,WILKEN'S FINE FOOD,A,2019-05-03T00:00:00.000,11234
58,Violations were cited in the following area(s).,BROOKLYN,Critical,Delicatessen,WILKEN'S FINE FOOD,A,2018-05-10T00:00:00.000,11234
59,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Delicatessen,WILKEN'S FINE FOOD,A,2018-05-10T00:00:00.000,11234
60,Violations were cited in the following area(s).,BROOKLYN,Critical,Delicatessen,WILKEN'S FINE FOOD,A,2017-06-03T00:00:00.000,11234
61,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Delicatessen,WILKEN'S FINE FOOD,A,2017-06-03T00:00:00.000,11234
62,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Delicatessen,WILKEN'S FINE FOOD,A,2017-06-03T00:00:00.000,11234
63,Violations were cited in the following area(s).,BROOKLYN,Critical,"Ice Cream, Gelato, Yogurt, Ices",TASTE THE TROPICS ICE CREAM,A,2019-05-31T00:00:00.000,11226
64,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",TASTE THE TROPICS ICE CREAM,A,2019-05-31T00:00:00.000,11226
65,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",TASTE THE TROPICS ICE CREAM,A,2019-05-31T00:00:00.000,11226
66,Violations were cited in the following area(s).,BROOKLYN,Critical,"Ice Cream, Gelato, Yogurt, Ices",TASTE THE TROPICS ICE CREAM,A,2018-05-16T00:00:00.000,11226
67,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",TASTE THE TROPICS ICE CREAM,A,2018-05-16T00:00:00.000,11226
68,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",TASTE THE TROPICS ICE CREAM,A,2018-05-16T00:00:00.000,11226
69,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",TASTE THE TROPICS ICE CREAM,A,2018-05-16T00:00:00.000,11226
70,Violations were cited in the following area(s).,BROOKLYN,Critical,"Ice Cream, Gelato, Yogurt, Ices",TASTE THE TROPICS ICE CREAM,A,2017-06-22T00:00:00.000,11226
71,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",TASTE THE TROPICS ICE CREAM,A,2017-06-22T00:00:00.000,11226
72,Violations were cited in the following area(s).,BRONX,Critical,American,WILD ASIA,A,2019-05-22T00:00:00.000,10460
73,Violations were cited in the following area(s).,BRONX,Not Critical,American,WILD ASIA,A,2019-05-22T00:00:00.000,10460
74,Violations were cited in the following area(s).,BRONX,Not Critical,American,WILD ASIA,A,2018-05-31T00:00:00.000,10460
75,Violations were cited in the following area(s).,BRONX,Not Critical,American,WILD ASIA,A,2018-05-31T00:00:00.000,10460
76,Violations were cited in the following area(s).,BRONX,Not Critical,American,WILD ASIA,A,2017-06-14T00:00:00.000,10460
77,Violations were cited in the following area(s).,MANHATTAN,Critical,American,1 EAST 66TH STREET KITCHEN,A,2018-09-28T00:00:00.000,10065
78,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,1 EAST 66TH STREET KITCHEN,A,2018-09-28T00:00:00.000,10065
79,Violations were cited in the following area(s).,MANHATTAN,Critical,American,1 EAST 66TH STREET KITCHEN,A,2017-09-20T00:00:00.000,10065
80,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,1 EAST 66TH STREET KITCHEN,A,2017-09-20T00:00:00.000,10065
81,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,1 EAST 66TH STREET KITCHEN,A,2017-09-20T00:00:00.000,10065
82,No violations were recorded at the time of this inspection.,MANHATTAN,Not Applicable,American,1 EAST 66TH STREET KITCHEN,A,2016-05-06T00:00:00.000,10065
83,Violations were cited in the following area(s).,BROOKLYN,Critical,Hotdogs,NATHAN'S FAMOUS,A,2019-04-06T00:00:00.000,11224
84,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hotdogs,NATHAN'S FAMOUS,A,2019-04-06T00:00:00.000,11224
85,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hotdogs,NATHAN'S FAMOUS,A,2019-04-06T00:00:00.000,11224
86,Violations were cited in the following area(s).,BROOKLYN,Critical,Hotdogs,NATHAN'S FAMOUS,A,2018-03-07T00:00:00.000,11224
87,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hotdogs,NATHAN'S FAMOUS,A,2018-03-07T00:00:00.000,11224
88,Violations were cited in the following area(s).,BROOKLYN,Critical,Hotdogs,NATHAN'S FAMOUS,A,2017-01-23T00:00:00.000,11224
89,Violations were cited in the following area(s).,BROOKLYN,Critical,Hotdogs,NATHAN'S FAMOUS,A,2017-01-23T00:00:00.000,11224
90,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hotdogs,NATHAN'S FAMOUS,A,2017-01-23T00:00:00.000,11224
91,Violations were cited in the following area(s).,BROOKLYN,Critical,Hotdogs,NATHAN'S FAMOUS,A,2016-07-08T00:00:00.000,11224
92,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hotdogs,NATHAN'S FAMOUS,A,2016-07-08T00:00:00.000,11224
93,Violations were cited in the following area(s).,BROOKLYN,Critical,Hotdogs,NATHAN'S FAMOUS,,2016-06-01T00:00:00.000,11224
94,Violations were cited in the following area(s).,BROOKLYN,Critical,Hotdogs,NATHAN'S FAMOUS,,2016-06-01T00:00:00.000,11224
95,Violations were cited in the following area(s).,BROOKLYN,Critical,Hotdogs,NATHAN'S FAMOUS,,2016-06-01T00:00:00.000,11224
96,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Jewish/Kosher,SEUDA FOODS,A,2018-11-27T00:00:00.000,11223
97,Violations were cited in the following area(s).,BROOKLYN,Critical,Jewish/Kosher,SEUDA FOODS,A,2017-11-27T00:00:00.000,11223
98,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Jewish/Kosher,SEUDA FOODS,A,2017-11-27T00:00:00.000,11223
99,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Jewish/Kosher,SEUDA FOODS,A,2017-11-27T00:00:00.000,11223
100,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Jewish/Kosher,SEUDA FOODS,A,2017-11-27T00:00:00.000,11223
101,Violations were cited in the following area(s).,BROOKLYN,Critical,Jewish/Kosher,SEUDA FOODS,A,2017-04-20T00:00:00.000,11223
102,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Jewish/Kosher,SEUDA FOODS,A,2017-04-20T00:00:00.000,11223
103,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Jewish/Kosher,SEUDA FOODS,A,2017-04-20T00:00:00.000,11223
104,Violations were cited in the following area(s).,BROOKLYN,Critical,Jewish/Kosher,SEUDA FOODS,,2017-03-13T00:00:00.000,11223
105,Violations were cited in the following area(s).,BROOKLYN,Critical,Jewish/Kosher,SEUDA FOODS,,2017-03-13T00:00:00.000,11223
106,Violations were cited in the following area(s).,BROOKLYN,Critical,Jewish/Kosher,SEUDA FOODS,,2017-03-13T00:00:00.000,11223
107,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Jewish/Kosher,SEUDA FOODS,,2017-03-13T00:00:00.000,11223
108,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Jewish/Kosher,SEUDA FOODS,,2017-03-13T00:00:00.000,11223
109,Violations were cited in the following area(s).,BROOKLYN,Critical,Jewish/Kosher,SEUDA FOODS,A,2016-08-29T00:00:00.000,11223
110,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Jewish/Kosher,SEUDA FOODS,A,2016-08-29T00:00:00.000,11223
111,Violations were cited in the following area(s).,BROOKLYN,Critical,Jewish/Kosher,SEUDA FOODS,,2016-08-08T00:00:00.000,11223
112,Violations were cited in the following area(s).,BROOKLYN,Critical,Jewish/Kosher,SEUDA FOODS,,2016-08-08T00:00:00.000,11223
113,Violations were cited in the following area(s).,BROOKLYN,Critical,Jewish/Kosher,SEUDA FOODS,,2016-08-08T00:00:00.000,11223
114,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Jewish/Kosher,SEUDA FOODS,,2016-08-08T00:00:00.000,11223
115,Violations were cited in the following area(s).,BROOKLYN,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2019-05-29T00:00:00.000,11218
116,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2019-05-29T00:00:00.000,11218
117,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2019-05-29T00:00:00.000,11218
118,Violations were cited in the following area(s).,BROOKLYN,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,,2019-03-20T00:00:00.000,11218
119,Violations were cited in the following area(s).,BROOKLYN,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,,2019-03-20T00:00:00.000,11218
120,Violations were cited in the following area(s).,BROOKLYN,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,,2019-03-20T00:00:00.000,11218
121,Violations were cited in the following area(s).,BROOKLYN,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,,2019-03-20T00:00:00.000,11218
122,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,,2019-03-20T00:00:00.000,11218
123,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,,2019-03-20T00:00:00.000,11218
124,Violations were cited in the following area(s).,BROOKLYN,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2018-03-20T00:00:00.000,11218
125,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2018-03-20T00:00:00.000,11218
126,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2018-03-20T00:00:00.000,11218
127,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2017-03-16T00:00:00.000,11218
128,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2017-03-16T00:00:00.000,11218
129,Violations were cited in the following area(s).,BROOKLYN,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2017-03-16T00:00:00.000,11218
130,Violations were cited in the following area(s).,QUEENS,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2019-03-19T00:00:00.000,11004
131,Violations were cited in the following area(s).,QUEENS,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,B,2018-07-12T00:00:00.000,11004
132,Violations were cited in the following area(s).,QUEENS,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,B,2018-07-12T00:00:00.000,11004
133,Violations were cited in the following area(s).,QUEENS,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,B,2018-07-12T00:00:00.000,11004
134,Violations were cited in the following area(s).,QUEENS,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,B,2018-07-12T00:00:00.000,11004
135,Violations were cited in the following area(s).,QUEENS,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,,2018-03-28T00:00:00.000,11004
136,Violations were cited in the following area(s).,QUEENS,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,,2018-03-28T00:00:00.000,11004
137,Violations were cited in the following area(s).,QUEENS,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,,2018-03-28T00:00:00.000,11004
138,Violations were cited in the following area(s).,QUEENS,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,,2018-03-28T00:00:00.000,11004
139,Violations were cited in the following area(s).,QUEENS,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2017-01-05T00:00:00.000,11004
140,Violations were cited in the following area(s).,QUEENS,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2017-01-05T00:00:00.000,11004
141,Violations were cited in the following area(s).,QUEENS,Critical,Delicatessen,SAL'S DELI,A,2019-05-16T00:00:00.000,11356
142,Violations were cited in the following area(s).,QUEENS,Not Critical,Delicatessen,SAL'S DELI,A,2019-05-16T00:00:00.000,11356
143,Violations were cited in the following area(s).,QUEENS,Not Critical,Delicatessen,SAL'S DELI,A,2019-05-16T00:00:00.000,11356
144,Violations were cited in the following area(s).,QUEENS,Not Applicable,Delicatessen,SAL'S DELI,A,2019-05-16T00:00:00.000,11356
145,Violations were cited in the following area(s).,QUEENS,Critical,Delicatessen,SAL'S DELI,A,2018-06-05T00:00:00.000,11356
146,Violations were cited in the following area(s).,QUEENS,Not Critical,Delicatessen,SAL'S DELI,A,2018-06-05T00:00:00.000,11356
147,Violations were cited in the following area(s).,QUEENS,Not Critical,Delicatessen,SAL'S DELI,A,2018-06-05T00:00:00.000,11356
148,Violations were cited in the following area(s).,QUEENS,Critical,Delicatessen,SAL'S DELI,A,2018-01-24T00:00:00.000,11356
149,Violations were cited in the following area(s).,QUEENS,Not Critical,Delicatessen,SAL'S DELI,A,2018-01-24T00:00:00.000,11356
150,Violations were cited in the following area(s).,QUEENS,Not Critical,Delicatessen,SAL'S DELI,A,2018-01-24T00:00:00.000,11356
151,Violations were cited in the following area(s).,QUEENS,Critical,Delicatessen,SAL'S DELI,,2017-12-01T00:00:00.000,11356
152,Violations were cited in the following area(s).,QUEENS,Critical,Delicatessen,SAL'S DELI,,2017-12-01T00:00:00.000,11356
153,Violations were cited in the following area(s).,QUEENS,Critical,Delicatessen,SAL'S DELI,,2017-12-01T00:00:00.000,11356
154,Violations were cited in the following area(s).,QUEENS,Not Critical,Delicatessen,SAL'S DELI,,2017-12-01T00:00:00.000,11356
155,Violations were cited in the following area(s).,QUEENS,Critical,Delicatessen,SAL'S DELI,A,2016-09-13T00:00:00.000,11356
156,Violations were cited in the following area(s).,QUEENS,Not Critical,Delicatessen,SAL'S DELI,A,2016-09-13T00:00:00.000,11356
157,Violations were cited in the following area(s).,QUEENS,Critical,Delicatessen,STEVE CHU'S DELI & GROCERY,A,2018-07-18T00:00:00.000,11106
158,Violations were cited in the following area(s).,QUEENS,Critical,Delicatessen,STEVE CHU'S DELI & GROCERY,A,2017-07-10T00:00:00.000,11106
159,Violations were cited in the following area(s).,QUEENS,Not Critical,Delicatessen,STEVE CHU'S DELI & GROCERY,A,2017-07-10T00:00:00.000,11106
160,Violations were cited in the following area(s).,QUEENS,Critical,Delicatessen,STEVE CHU'S DELI & GROCERY,A,2016-02-22T00:00:00.000,11106
161,Violations were cited in the following area(s).,MANHATTAN,Critical,American,P & S DELI GROCERY,A,2019-05-13T00:00:00.000,10025
162,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,A,2019-05-13T00:00:00.000,10025
163,Violations were cited in the following area(s).,MANHATTAN,Not Applicable,American,P & S DELI GROCERY,A,2019-05-13T00:00:00.000,10025
164,Violations were cited in the following area(s).,MANHATTAN,Critical,American,P & S DELI GROCERY,A,2018-12-18T00:00:00.000,10025
165,Violations were cited in the following area(s).,MANHATTAN,Critical,American,P & S DELI GROCERY,A,2018-12-18T00:00:00.000,10025
166,Violations were cited in the following area(s).,MANHATTAN,Critical,American,P & S DELI GROCERY,,2018-11-07T00:00:00.000,10025
167,Violations were cited in the following area(s).,MANHATTAN,Critical,American,P & S DELI GROCERY,,2018-11-07T00:00:00.000,10025
168,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,,2018-11-07T00:00:00.000,10025
169,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,,2018-11-07T00:00:00.000,10025
170,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,,2018-11-07T00:00:00.000,10025
171,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,,2018-11-07T00:00:00.000,10025
172,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,,2018-11-07T00:00:00.000,10025
173,Violations were cited in the following area(s).,MANHATTAN,Critical,American,P & S DELI GROCERY,,2018-07-10T00:00:00.000,10025
174,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,,2018-07-10T00:00:00.000,10025
175,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,,2018-07-10T00:00:00.000,10025
176,Violations were cited in the following area(s).,MANHATTAN,Critical,American,P & S DELI GROCERY,C,2018-07-02T00:00:00.000,10025
177,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,C,2018-07-02T00:00:00.000,10025
178,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,C,2018-07-02T00:00:00.000,10025
179,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,C,2018-07-02T00:00:00.000,10025
180,Violations were cited in the following area(s).,MANHATTAN,Critical,American,P & S DELI GROCERY,,2018-05-16T00:00:00.000,10025
181,Violations were cited in the following area(s).,MANHATTAN,Critical,American,P & S DELI GROCERY,,2018-05-16T00:00:00.000,10025
182,Violations were cited in the following area(s).,MANHATTAN,Critical,American,P & S DELI GROCERY,,2018-05-16T00:00:00.000,10025
183,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,,2018-05-16T00:00:00.000,10025
184,Violations were cited in the following area(s).,MANHATTAN,Critical,American,P & S DELI GROCERY,A,2017-06-05T00:00:00.000,10025
185,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,A,2017-06-05T00:00:00.000,10025
186,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,A,2017-06-05T00:00:00.000,10025
187,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,P & S DELI GROCERY,,2017-06-05T00:00:00.000,10025
188,Violations were cited in the following area(s).,MANHATTAN,Critical,American,ANGELIKA FILM CENTER,A,2019-01-02T00:00:00.000,10012
189,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,ANGELIKA FILM CENTER,A,2019-01-02T00:00:00.000,10012
190,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,ANGELIKA FILM CENTER,,2019-01-02T00:00:00.000,10012
191,Violations were cited in the following area(s).,MANHATTAN,Critical,American,ANGELIKA FILM CENTER,B,2018-07-09T00:00:00.000,10012
192,Violations were cited in the following area(s).,MANHATTAN,Critical,American,ANGELIKA FILM CENTER,B,2018-07-09T00:00:00.000,10012
193,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,ANGELIKA FILM CENTER,B,2018-07-09T00:00:00.000,10012
194,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,ANGELIKA FILM CENTER,B,2018-07-09T00:00:00.000,10012
195,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,ANGELIKA FILM CENTER,B,2018-07-09T00:00:00.000,10012
196,Violations were cited in the following area(s).,MANHATTAN,Critical,American,ANGELIKA FILM CENTER,,2018-06-04T00:00:00.000,10012
197,Violations were cited in the following area(s).,MANHATTAN,Critical,American,ANGELIKA FILM CENTER,,2018-06-04T00:00:00.000,10012
198,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,ANGELIKA FILM CENTER,,2018-06-04T00:00:00.000,10012
199,Violations were cited in the following area(s).,MANHATTAN,Not Critical,American,ANGELIKA FILM CENTER,,2018-06-04T00:00:00.000,10012
